City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mount gambier,-37.8333,140.7667,9.26,76,33,4.08,AU,1686508945
84,newman,37.3138,-121.0208,26.12,32,25,2.24,US,1686508945
85,afaahiti,-17.75,-149.2833,24.93,71,96,7.6,PF,1686508945
86,kristiansund,63.1115,7.732,19.03,59,0,1.03,NO,1686508945
87,enewetak,11.3474,162.3373,27.78,80,97,8.0,MH,1686508945
88,bamboo flat,11.7,92.7167,26.05,89,75,1.03,IN,1686508946
89,palmer,42.1584,-72.3287,28.15,36,75,3.6,US,1686508946
90,itoman,26.1247,127.6694,26.21,94,75,2.06,JP,1686508946
91,helena valley west central,46.6629,-112.0604,22.58,55,0,2.57,US,1686508946
92,takaungu,-3.6837,39.8566,26.27,86,94,4.83,KE,1686508946
93,chilecito,-29.1619,-67.4974,9.39,35,0,3.6,AR,1686508947
94,chonchi,-42.6128,-73.8092,9.51,84,100,1.79,CL,1686508947
95,hermanus,-34.4187,19.2345,13.78,88,100,8.45,ZA,1686508947
96,shingu,33.7333,135.9833,21.22,97,100,1.43,JP,1686508947
97,utrik,11.2278,169.8474,27.49,79,89,7.05,MH,1686508948
98,sinabang,2.4803,96.3801,26.74,84,87,1.03,ID,1686508948
99,mingshui,36.7167,117.5,18.68,78,9,1.88,CN,1686508948
100,kisangani,0.5167,25.2,22.4,93,100,1.02,CD,1686508948
101,constantia,44.1833,28.65,17.61,80,95,2.84,RO,1686508948
102,guerrero negro,27.9769,-114.0611,20.65,50,0,7.08,MX,1686508949
103,bereznik,62.8551,42.7072,7.91,70,87,1.52,RU,1686508949
104,pangai,-19.8,-174.35,24.06,73,75,3.09,TO,1686508949
105,guarapari,-20.6667,-40.4975,28.83,76,27,4.15,BR,1686508949
106,southbridge,42.0751,-72.0334,28.57,48,100,2.16,US,1686508949
107,nema,57.5067,50.5011,6.01,72,0,2.06,RU,1686508949
108,tonghua,41.7201,125.9219,10.34,93,98,1.04,CN,1686508950
109,mogok,22.9167,96.5,18.72,91,99,1.52,MM,1686508950
110,vila franca do campo,37.7167,-25.4333,20.23,67,100,3.26,PT,1686508950
111,nizhniy kuranakh,58.8353,125.4869,16.04,80,75,0.99,RU,1686508950
112,avarua,-21.2078,-159.775,22.03,100,4,0.51,CK,1686508950
113,tura,25.5198,90.2201,23.8,93,98,2.08,IN,1686508951
114,puerto carreno,6.189,-67.4859,29.99,74,40,1.03,CO,1686508951
115,kodiak,57.79,-152.4072,7.73,93,100,6.17,US,1686508951
